S	Sl	Su
200	172.3853105	227.7326476
201	173.7855314	228.9885604
202	175.4853726	230.2844568
203	176.2325603	231.6492082
204	176.2325603	233.1863178
205	176.2325603	234.5306163
206	177.4784489	234.5306163
207	178.7743488	235.1448319
208	180.1380617	236.3894072
209	181.6690601	237.6680443
210	183.0470139	239.0014766
211	183.0470139	240.4477404
212	183.0470139	242.2676492
213	183.8564534	242.2676492
214	185.1316406	242.5315364
215	186.4583242	243.7630288
216	187.8868554	245.022646
217	189.8267634	246.3245454
218	189.8267634	247.7012131
219	189.8267634	249.2838777
220	190.2100538	250.4337273
221	191.4642444	250.4337273
222	192.7569899	251.1139584
223	194.1151001	252.3544776
224	195.6286621	253.6272269
225	197.0873534	254.9507405
226	197.0873534	256.3736126
227	197.0873534	258.3414663
228	197.7779962	258.3414663
229	199.0410703	258.4463272
230	200.3479535	259.668689
231	201.7337773	260.9156084
232	203.3545268	262.197964
233	204.363037	263.5382053
234	204.363037	265.0024722
235	204.363037	266.7136741
236	205.3150406	266.7136741
237	206.5831661	266.9692956
238	207.8983904	268.193771
239	209.3018515	269.4436687
240	211.0312526	270.730611
241	211.6871037	272.0791855
242	211.6871037	273.5666262
243	211.6871037	275.1500243
244	212.8196678	275.1500243
245	214.0882267	275.464451
246	215.4042725	276.6882732
247	216.8096838	277.9373086
248	218.5566213	279.2229926
249	219.1618507	280.5693668
250	219.1618507	282.0507227
251	219.1618507	283.6659203
252	220.2917609	283.6659203
253	221.5560385	283.9320186
254	222.8651717	285.1524798
255	224.256095	286.3969157
256	225.9047591	287.6757045
257	226.8132193	289.0099026
258	226.8132193	290.4590287
259	226.8132193	292.2571398
260	227.7326476	292.2571398
261	228.9885604	292.3731059
262	230.2844568	293.5878447
263	231.6492082	294.8245303
264	233.1863178	296.091932
265	234.5306163	297.4068627
266	234.5306163	298.811183
267	234.5306163	300.5569227
268	235.1448319	301.1618335
269	236.3894072	301.1618335
270	237.6680443	301.9967295
271	239.0014766	303.2233884
272	240.4477404	304.4765105
273	242.2676492	305.7686404
274	242.2676492	307.1271282
275	242.2676492	308.6454697
276	242.5315364	310.0719027
277	243.7630288	310.0719027
278	245.022646	310.3820305
279	246.3245454	311.5973098
280	247.7012131	312.8347968
281	249.2838777	314.1034531
282	250.4337273	315.4205812
283	250.4337273	316.8299032
284	250.4337273	318.6286679
285	251.1139584	319.0902559
286	252.3544776	319.0902559
287	253.6272269	319.9501588
288	254.9507405	321.171834
289	256.3736126	322.4180927
290	258.3414663	323.6998111
291	258.3414663	325.0394334
292	258.3414663	326.5030814
293	258.4463272	328.2136996
294	259.668689	328.2136996
295	260.9156084	328.2854918
296	262.197964	329.4919396
297	263.5382053	330.7177095
298	265.0024722	331.9696956
299	266.7136741	333.2602076
300	266.7136741	334.6158802
301	266.7136741	336.1257757
302	266.9692956	337.5916833
303	268.193771	337.5916833
304	269.4436687	337.7986107
305	270.730611	339.006058
306	272.0791855	340.2331737
307	273.5666262	341.4870825
308	275.1500243	342.7806223
309	275.1500243	344.1420491
310	275.1500243	345.6707403
311	275.464451	347.0469668
312	276.6882732	347.0469668
313	277.9373086	347.2858396
314	279.2229926	348.4920779
315	280.5693668	349.7176268
316	282.0507227	350.9693689
317	283.6659203	352.2595876
318	283.6659203	353.6148384
319	283.6659203	355.1237063
320	283.9320186	356.5938534
321	285.1524798	356.5938534
322	286.3969157	356.7475929
323	287.6757045	357.9505206
324	289.0099026	359.1717592
325	290.4590287	360.4175413
326	292.2571398	361.6986989
327	292.2571398	363.0375528
328	292.2571398	364.4996232
329	292.3731059	366.2174246
330	293.5878447	366.2174246
331	294.8245303	366.2174246
332	296.091932	367.3827842
333	297.4068627	368.59742
334	298.811183	369.8342154
335	300.5569227	371.1020821
336	301.1618335	372.4181951
337	301.1618335	373.8257908
338	301.1618335	375.6088466
339	301.9967295	376.1101402
340	303.2233884	376.1101402
341	304.4765105	376.7909319
342	305.7686404	377.9972821
343	307.1271282	379.2230518
344	308.6454697	380.475191
345	310.0719027	381.7661371
346	310.0719027	383.1229134
347	310.0719027	384.6369809
348	310.3820305	386.0807804
349	311.5973098	386.0807804
350	312.8347968	386.1774197
351	314.1034531	387.3744353
352	315.4205812	388.5880982
